flujo_id,flujo,fecha,valor_comercio
2,Exportaciones,5/1/2022,318032874
2,Exportaciones,6/1/2022,272699689
2,Exportaciones,7/1/2022,255730739
2,Exportaciones,8/1/2022,257955587
2,Exportaciones,9/1/2022,235916008
2,Exportaciones,10/1/2022,226933215
2,Exportaciones,11/1/2022,235130944
2,Exportaciones,12/1/2022,229521753
2,Exportaciones,1/1/2023,217146227
2,Exportaciones,2/1/2023,209456957
2,Exportaciones,3/1/2023,248777398
2,Exportaciones,4/1/2023,226605881
2,Exportaciones,5/1/2023,277231519
2,Exportaciones,6/1/2023,284210075
2,Exportaciones,7/1/2023,271854041
2,Exportaciones,8/1/2023,256480402
2,Exportaciones,9/1/2023,249201950
2,Exportaciones,10/1/2023,242887280
2,Exportaciones,11/1/2023,228250724
2,Exportaciones,12/1/2023,207860450
2,Exportaciones,1/1/2024,221390113
2,Exportaciones,2/1/2024,221977797
2,Exportaciones,3/1/2024,249276835
2,Exportaciones,4/1/2024,250332834
2,Exportaciones,5/1/2024,270576755
2,Exportaciones,6/1/2024,241642843
2,Exportaciones,7/1/2024,275869722
2,Exportaciones,8/1/2024,246650674
2,Exportaciones,9/1/2024,250152516
2,Exportaciones,10/1/2024,250522453
2,Exportaciones,11/1/2024,237104850
2,Exportaciones,12/1/2024,253093717
2,Exportaciones,1/1/2025,233282942
2,Exportaciones,2/1/2025,229087672
2,Exportaciones,3/1/2025,249881798
2,Exportaciones,4/1/2025,240977160
2,Exportaciones,5/1/2025,254272469
2,Exportaciones,6/1/2025,249244302
2,Exportaciones,7/1/2025,293302772
2,Exportaciones,8/1/2025,283947234
2,Exportaciones,9/1/2025,297671701
2,Exportaciones,10/1/2025,328426816
2,Exportaciones,11/1/2025,304193421
